Cell type,Gene
Fr. I nTreg,NEBL
Fr. I nTreg,NOG
Fr. I nTreg,OCM
Fr. I nTreg,P3H3
Fr. I nTreg,PCAT19
Fr. I nTreg,PDE9A
Fr. I nTreg,PHLDB1
Fr. I nTreg,PITPNM2
Fr. I nTreg,PLCL1
Fr. I nTreg,POT1-AS1
Fr. I nTreg,PTGES3P2
Fr. I nTreg,RASA2
Fr. I nTreg,RASA2-IT1
Fr. I nTreg,RBMS3
Fr. I nTreg,RNF175
Fr. I nTreg,RPRM
Fr. I nTreg,RTKN2
Fr. I nTreg,SELP
Fr. I nTreg,SESN3
Fr. I nTreg,SH3RF3
Fr. I nTreg,SH3RF3-AS1
Fr. I nTreg,SLC14A1
Fr. I nTreg,SNHG22
Fr. I nTreg,TIMD4
Fr. I nTreg,TJP3
Fr. I nTreg,TLE2
Fr. I nTreg,TMEM132E
Fr. I nTreg,TRAJ54
Fr. I nTreg,TRAJ55
Fr. I nTreg,TRAJ56
Fr. I nTreg,USP53
Fr. I nTreg,YWHAQP6
Fr. I nTreg,ZCCHC14
Fr. I nTreg,ZNF101
Fr. I nTreg,ZNRF3
Fr. II eTreg,AC004847.1
Fr. II eTreg,AC004889.1
Fr. II eTreg,AC011997.1
Fr. II eTreg,AC017002.1
Fr. II eTreg,AC017002.3
Fr. II eTreg,AC022929.2
Fr. II eTreg,AC069547.1
Fr. II eTreg,AC087878.1
Fr. II eTreg,AC093616.1
Fr. II eTreg,AC104261.1
Fr. II eTreg,AC108676.1
Fr. II eTreg,AC113146.1
Fr. II eTreg,AC147651.3
Fr. II eTreg,ACTA2
Fr. II eTreg,ACTG2
Fr. II eTreg,ADAM12
Fr. II eTreg,AHRR
Fr. II eTreg,AKIP1
Fr. II eTreg,AKR1C6P
Fr. II eTreg,AL121658.1
Fr. II eTreg,AL133268.3
Fr. II eTreg,AL157394.1
Fr. II eTreg,AL160400.1
Fr. II eTreg,AL356750.1
Fr. II eTreg,AL441992.1
Fr. II eTreg,ANKDD1B
Fr. II eTreg,ANKS1B
Fr. II eTreg,ANLN
Fr. II eTreg,AP002505.2
Fr. II eTreg,AP003356.1
Fr. II eTreg,APOLD1
Fr. II eTreg,ARHGAP11A
Fr. II eTreg,ARHGAP11B
Fr. II eTreg,ARHGDIB
Fr. II eTreg,ARHGEF12
Fr. II eTreg,ARHGEF35
Fr. II eTreg,ARHGEF5
Fr. II eTreg,ARL6IP1
Fr. II eTreg,ARMC2
Fr. II eTreg,ASPM
Fr. II eTreg,ASS1P1
Fr. II eTreg,ASXL1
Fr. II eTreg,ATAD2
Fr. II eTreg,ATP13A3
Fr. II eTreg,AUNIP
Fr. II eTreg,AURKA
Fr. II eTreg,AURKB
Fr. II eTreg,BARD1
Fr. II eTreg,BATF
Fr. II eTreg,BCAS1
Fr. II eTreg,BCL2L14
Fr. II eTreg,BECN1
Fr. II eTreg,BFSP2
Fr. II eTreg,BIRC5
Fr. II eTreg,BLZF1
Fr. II eTreg,BRIP1
Fr. II eTreg,BTG3
Fr. II eTreg,BUB1B
Fr. II eTreg,C15orf53
Fr. II eTreg,C16orf59
Fr. II eTreg,C17orf53
Fr. II eTreg,CAB39L
Fr. II eTreg,CALM3
Fr. II eTreg,CARD17
Fr. II eTreg,CARHSP1
Fr. II eTreg,CASP1P2
Fr. II eTreg,CCDC141
Fr. II eTreg,CCDC150
Fr. II eTreg,CCDC34
Fr. II eTreg,CCM2
Fr. II eTreg,CCNA2
Fr. II eTreg,CCNB1
Fr. II eTreg,CCNB2
Fr. II eTreg,CCNE2
Fr. II eTreg,CCNF
Fr. II eTreg,CCR10
Fr. II eTreg,CCR4
Fr. II eTreg,CCR8
Fr. II eTreg,CD70
Fr. II eTreg,CDC25C
Fr. II eTreg,CDC45
Fr. II eTreg,CDCA2
Fr. II eTreg,CDCA3
Fr. II eTreg,CDCA5
Fr. II eTreg,CDCA7
Fr. II eTreg,CDCA8
Fr. II eTreg,CDHR3
Fr. II eTreg,CDK1
Fr. II eTreg,CDK7
Fr. II eTreg,CDKN2A
Fr. II eTreg,CDKN2C
