Cell type,Gene
USM B,AL450344.3
USM B,AL451067.1
USM B,AL590609.3
USM B,AL928742.1
USM B,AMN
USM B,AMZ1
USM B,ANGPTL1
USM B,ANGPTL6
USM B,ANK2
USM B,AP003086.1
USM B,AP003108.3
USM B,AP1S3
USM B,ARHGAP20
USM B,ARHGAP24
USM B,BACE2
USM B,C6orf10
USM B,CACFD1
USM B,CBLN3
USM B,CCDC144NL-AS1
USM B,CCDC24
USM B,CD24
USM B,CELSR1
USM B,CLECL1
USM B,CNFN
USM B,CNR2
USM B,COL9A3
USM B,CYB5R2
USM B,DEGS2
USM B,DENND2A
USM B,DEPDC5
USM B,DMD
USM B,DOCK6
USM B,DUS2
USM B,E2F5
USM B,ERICH3
USM B,ESPNL
USM B,ESR2
USM B,FCGR2B
USM B,FCRL2
USM B,FCRLA
USM B,FNDC5
USM B,GALNTL6
USM B,GAS6-AS1
USM B,GEN1
USM B,GNG11
USM B,GPM6A
USM B,GYPE
USM B,HCG23
USM B,IFT57
USM B,IL6
USM B,IL7
USM B,JADE3
USM B,JAM3
USM B,KCND1
USM B,KLK1
USM B,LAMTOR5
USM B,LINC00494
USM B,LINC00525
USM B,LINC01857
USM B,LINC02422
USM B,MAJIN
USM B,MAPK10
USM B,MBD4
USM B,MCM5
USM B,METTL8
USM B,MRPL44
USM B,NEXMIF
USM B,NFKBID
USM B,NXPH4
USM B,OR13A1
USM B,PARP15
USM B,PFKM
USM B,PIKFYVE
USM B,PLEKHG1
USM B,PLPP3
USM B,PMFBP1
USM B,PPFIBP2
USM B,PSME4
USM B,PTH2R
USM B,PTPN2P1
USM B,QRSL1
USM B,RALGPS2
USM B,RASGRF1
USM B,RIPOR3
USM B,ROR1
USM B,SEMA3D
USM B,SGPP1
USM B,SLC16A4
USM B,SLC45A3
USM B,SMTN
USM B,SOX7
USM B,SP140
USM B,STK33
USM B,TBC1D27
USM B,TBC1D9
USM B,TDRD15
USM B,TEAD2
USM B,TLL2
USM B,TNFRSF13B
USM B,TNFSF9
USM B,TNS3
USM B,TTC21A
USM B,WDR17
USM B,WFDC21P
USM B,WNT16
USM B,WNT3
USM B,WSCD2
USM B,XKR6
USM B,ZDHHC21
USM B,ZNF581
USM B,ZNF587P1
USM B,ZNF804A
USM B,ZNF860
SM B,ABHD17AP4
SM B,AC004687.1
SM B,AC006548.3
SM B,AC008691.1
SM B,AC023283.1
SM B,AC025569.1
SM B,AC083809.1
SM B,ACP5
SM B,AIM2
SM B,AL133230.1
SM B,AL355076.2
SM B,AL355076.3
SM B,AL671511.1
SM B,ANKRD33B
SM B,ARHGAP44
SM B,ARL14
SM B,ATRNL1
SM B,BAIAP3
SM B,BANK1
SM B,C12orf74
SM B,CALHM1
SM B,CAPN14
SM B,CECR7
SM B,CNNM4
SM B,CNR1
SM B,COL4A3
SM B,CRACR2B
SM B,DNAH8
SM B,DOK7
SM B,EBI3
SM B,EFCAB12
SM B,EHD3
SM B,EML6
SM B,FBXO10
SM B,GALNT9
SM B,GATM
SM B,GDF7
SM B,GLRA3
SM B,KCNN4
SM B,L1CAM
SM B,LINC01781
SM B,LINC02324
SM B,LINC02541
SM B,LRRC56
SM B,LY86-AS1
SM B,MAP3K7CL
SM B,MUC16
SM B,MYO5B
SM B,OSBPL10
SM B,OSBPL10-AS1
SM B,OSTN-AS1
SM B,PLA2G2D
SM B,PLEKHG7
SM B,POF1B
SM B,PRAMENP
SM B,PROX1
SM B,PXDC1
SM B,RASSF6
SM B,RPL21P7
SM B,RPS20P2
SM B,SDR16C5
SM B,SPINT1-AS1
SM B,SYBU
SM B,TAS1R3
SM B,TLR10
SM B,TMEM56
SM B,TNR
SM B,UTS2B
SM B,WEE1
SM B,ZBTB32
Plasmablast,AARS
Plasmablast,ABCB9
Plasmablast,ABCC4
Plasmablast,AC004130.1
Plasmablast,AC006042.3
Plasmablast,AC007386.2
Plasmablast,AC007613.1
Plasmablast,AC008074.3
Plasmablast,AC009133.3
Plasmablast,AC010149.1
Plasmablast,AC012236.1
Plasmablast,AC023157.1
Plasmablast,AC026202.2
Plasmablast,AC027601.4
Plasmablast,AC034105.1
Plasmablast,AC068870.2
Plasmablast,AC078883.1
Plasmablast,AC084036.1
Plasmablast,AC104024.1
Plasmablast,AC104699.1
Plasmablast,AC106882.1
Plasmablast,AC106897.1
Plasmablast,AC138969.2
Plasmablast,AC242376.2
Plasmablast,AC244205.2
Plasmablast,AC244226.1
Plasmablast,AC245369.3
Plasmablast,AC245369.4
Plasmablast,AC245369.7
Plasmablast,AC245517.5
Plasmablast,AC247036.4
Plasmablast,AC247036.6
Plasmablast,ACAT1
Plasmablast,ACOXL
Plasmablast,ACSS1
Plasmablast,ADM2
Plasmablast,AF127936.1
Plasmablast,AIFM2
Plasmablast,AL033527.5
Plasmablast,AL109918.1
Plasmablast,AL133467.1
Plasmablast,AL163051.1
Plasmablast,AL354707.1
Plasmablast,ALDH1L2
Plasmablast,ALG1
Plasmablast,ALG14
Plasmablast,ALG5
Plasmablast,AMPD1
Plasmablast,ANKIB1
Plasmablast,ANKRD28
Plasmablast,ANKRD36BP2
Plasmablast,ANKRD37
Plasmablast,AP002851.1
Plasmablast,AP002852.2
Plasmablast,APOBEC3B
Plasmablast,APOM
Plasmablast,ARF4
Plasmablast,ARFGAP3
Plasmablast,ARHGAP23
Plasmablast,ARHGAP42
Plasmablast,ARL1
Plasmablast,ARMCX3
Plasmablast,ARNTL2
Plasmablast,ARSA
Plasmablast,ASB3
Plasmablast,ATAD3C
Plasmablast,ATF4
Plasmablast,ATG4A
Plasmablast,ATP2A2
Plasmablast,ATP5A1
Plasmablast,ATP5J
Plasmablast,ATP5L
Plasmablast,ATP6V1C2
Plasmablast,ATP7B
Plasmablast,AURKAIP1
Plasmablast,B4GALT2
Plasmablast,B4GALT3
Plasmablast,B9D1
Plasmablast,BAK1
Plasmablast,BHLHA15
Plasmablast,BIK
Plasmablast,BMP6
Plasmablast,BMP8B
Plasmablast,BSCL2
Plasmablast,BTN1A1
Plasmablast,BUB1
Plasmablast,C11orf80
Plasmablast,C16orf95
Plasmablast,C1GALT1C1
Plasmablast,C1orf167
Plasmablast,C2orf88
Plasmablast,C5orf30
Plasmablast,CABLES1
Plasmablast,CADM1
Plasmablast,CALR
Plasmablast,CALU
Plasmablast,CANX
Plasmablast,CASP10
Plasmablast,CASP3
Plasmablast,CAV1
Plasmablast,CCDC110
Plasmablast,CCDC117
Plasmablast,CCDC163
Plasmablast,CCDC167
Plasmablast,CCDC32
Plasmablast,CCDC39
Plasmablast,CCNC
Plasmablast,CCNE1
Plasmablast,CCR9
Plasmablast,CD38
Plasmablast,CD59
Plasmablast,CDC20
Plasmablast,CDC25A
Plasmablast,CDC6
Plasmablast,CDRT4
Plasmablast,CEP97
Plasmablast,CFAP54
Plasmablast,CGN
Plasmablast,CHAC1
Plasmablast,CHAC2
Plasmablast,CHAD
Plasmablast,CHCHD2
Plasmablast,CHID1
Plasmablast,CHODL
Plasmablast,CHPF
Plasmablast,CISD2
Plasmablast,CITED2
Plasmablast,CKAP4
Plasmablast,CLCC1
Plasmablast,CLINT1
Plasmablast,CLN6
Plasmablast,CLPTM1L
Plasmablast,CNKSR1
Plasmablast,COL4A4
Plasmablast,COL6A4P2
Plasmablast,COMMD3
Plasmablast,COPB2
Plasmablast,COPE
Plasmablast,COPG1
Plasmablast,COX5A
Plasmablast,COX6B1
Plasmablast,COX7A2
Plasmablast,CPXM1
Plasmablast,CREB3
Plasmablast,CREB3L2
Plasmablast,CRELD2
Plasmablast,CRYBB1
Plasmablast,CYCS
Plasmablast,DAD1
Plasmablast,DCPS
Plasmablast,DDOST
Plasmablast,DDR2
Plasmablast,DENND1B
Plasmablast,DENND2C
Plasmablast,DENND5B
Plasmablast,DERL1
Plasmablast,DERL2
Plasmablast,DERL3
Plasmablast,DNAJB11
Plasmablast,DNAJB9
Plasmablast,DNAJC1
Plasmablast,DNAJC25
Plasmablast,DNAJC3
Plasmablast,DNMT3B
Plasmablast,DPAGT1
Plasmablast,DPEP1
Plasmablast,DQX1
Plasmablast,EAF2
Plasmablast,ECE2
Plasmablast,EDEM1
Plasmablast,EDEM2
Plasmablast,EDEM3
Plasmablast,EIF2AK3
Plasmablast,EIF2S2
Plasmablast,ELL2
Plasmablast,EMC2
Plasmablast,EML2-AS1
Plasmablast,ENAM
Plasmablast,ENPP6
Plasmablast,EPRS
Plasmablast,ERC1
Plasmablast,ERGIC3
Plasmablast,ERLEC1
Plasmablast,ESR1
Plasmablast,EVI5L
Plasmablast,F12
Plasmablast,F2RL3
Plasmablast,FA2H
Plasmablast,FAM149A
Plasmablast,FAM46C
Plasmablast,FAM69A
Plasmablast,FAM98A
Plasmablast,FBXO18
Plasmablast,FBXW7
Plasmablast,FBXW8
Plasmablast,FDX1
Plasmablast,FER1L4
Plasmablast,FICD
Plasmablast,FKBP11
Plasmablast,FKBP14
Plasmablast,FKBP2
Plasmablast,FNDC3A
Plasmablast,FNDC3B
Plasmablast,FOXRED1
Plasmablast,FRZB
Plasmablast,FUT8
Plasmablast,FZD7
Plasmablast,GAB1
Plasmablast,GABRR2
Plasmablast,GALNT1
Plasmablast,GALNT2
Plasmablast,GANAB
Plasmablast,GAREM1
Plasmablast,GCSH
Plasmablast,GFPT1
Plasmablast,GGH
Plasmablast,GLCCI1
Plasmablast,GLDC
Plasmablast,GMDS
Plasmablast,GMPPA
Plasmablast,GMPPB
Plasmablast,GNL3
Plasmablast,GOLGA3
Plasmablast,GOLGB1
Plasmablast,GOLPH3
Plasmablast,GORASP2
Plasmablast,GPLD1
Plasmablast,GPRC5D
Plasmablast,GPT2
Plasmablast,GRHL1
Plasmablast,GSPT1
Plasmablast,GTF2A1
Plasmablast,GUSB
Plasmablast,HASPIN
Plasmablast,HDLBP
Plasmablast,HELLPAR
Plasmablast,HERC2P2
Plasmablast,HERC2P3
Plasmablast,HIBCH
Plasmablast,HID1
Plasmablast,HIST1H2AM
Plasmablast,HIST1H2BG
Plasmablast,HIST1H2BH
Plasmablast,HM13
Plasmablast,HMBS
Plasmablast,HMGB3
Plasmablast,HPDL
Plasmablast,HRASLS2
Plasmablast,HSD17B8
Plasmablast,HSP90B1
Plasmablast,HSPA13
Plasmablast,HSPA5
Plasmablast,HYOU1
Plasmablast,IBTK
Plasmablast,IDE
Plasmablast,IDH2
Plasmablast,IFI27L1
Plasmablast,IFNG-AS1
Plasmablast,IGF1
Plasmablast,IGHA1
Plasmablast,IGHA2
Plasmablast,IGHD3-3
Plasmablast,IGHE
Plasmablast,IGHG1
Plasmablast,IGHG2
Plasmablast,IGHG3
Plasmablast,IGHG4
Plasmablast,IGHGP
Plasmablast,IGHJ3
Plasmablast,IGHJ3P
Plasmablast,IGHJ4
Plasmablast,IGHJ5
Plasmablast,IGHJ6
Plasmablast,IGHM
Plasmablast,IGHV1-18
Plasmablast,IGHV1-2
Plasmablast,IGHV1-24
Plasmablast,IGHV1-3
Plasmablast,IGHV1-46
Plasmablast,IGHV1-58
Plasmablast,IGHV1-69
Plasmablast,IGHV2-26
Plasmablast,IGHV2-5
Plasmablast,IGHV2-70
Plasmablast,IGHV3-11
Plasmablast,IGHV3-13
Plasmablast,IGHV3-15
Plasmablast,IGHV3-20
Plasmablast,IGHV3-21
Plasmablast,IGHV3-23
Plasmablast,IGHV3-30
Plasmablast,IGHV3-33
Plasmablast,IGHV3-43
Plasmablast,IGHV3-48
Plasmablast,IGHV3-49
Plasmablast,IGHV3-53
Plasmablast,IGHV3-64
Plasmablast,IGHV3-66
Plasmablast,IGHV3-7
Plasmablast,IGHV3-72
Plasmablast,IGHV3-73
Plasmablast,IGHV3-74
Plasmablast,IGHV3OR16-13
Plasmablast,IGHV3OR16-6
Plasmablast,IGHV3OR16-9
Plasmablast,IGHV4-28
Plasmablast,IGHV4-31
Plasmablast,IGHV4-34
Plasmablast,IGHV4-39
Plasmablast,IGHV4-4
Plasmablast,IGHV4-55
Plasmablast,IGHV4-59
Plasmablast,IGHV4-61
Plasmablast,IGHV5-51
Plasmablast,IGHV6-1
Plasmablast,IGKC
Plasmablast,IGKJ3
Plasmablast,IGKJ4
Plasmablast,IGKJ5
Plasmablast,IGKV1-12
Plasmablast,IGKV1-13
Plasmablast,IGKV1-16
Plasmablast,IGKV1-17
Plasmablast,IGKV1-27
Plasmablast,IGKV1-33
Plasmablast,IGKV1-39
Plasmablast,IGKV1-5
Plasmablast,IGKV1-6
Plasmablast,IGKV1-8
Plasmablast,IGKV1-9
Plasmablast,IGKV1D-12
Plasmablast,IGKV1D-13
Plasmablast,IGKV1D-16
Plasmablast,IGKV1D-17
Plasmablast,IGKV1D-27
Plasmablast,IGKV1D-33
Plasmablast,IGKV1D-39
Plasmablast,IGKV1D-43
Plasmablast,IGKV1D-8
Plasmablast,IGKV1OR2-108
Plasmablast,IGKV2-24
Plasmablast,IGKV2-26
Plasmablast,IGKV2-28
Plasmablast,IGKV2-29
Plasmablast,IGKV2-30
Plasmablast,IGKV2D-24
Plasmablast,IGKV2D-28
Plasmablast,IGKV2D-29
Plasmablast,IGKV2D-30
Plasmablast,IGKV2D-40
Plasmablast,IGKV3-11
Plasmablast,IGKV3-15
Plasmablast,IGKV3-20
Plasmablast,IGKV3-7
Plasmablast,IGKV3D-11
Plasmablast,IGKV3D-15
Plasmablast,IGKV3D-20
Plasmablast,IGKV3OR2-268
Plasmablast,IGKV4-1
Plasmablast,IGKV5-2
Plasmablast,IGKV6-21
Plasmablast,IGKV6D-21
Plasmablast,IGKV7-3
Plasmablast,IGLC1
Plasmablast,IGLC2
Plasmablast,IGLC3
Plasmablast,IGLC6
Plasmablast,IGLC7
Plasmablast,IGLJ1
Plasmablast,IGLJ3
Plasmablast,IGLV1-36
Plasmablast,IGLV1-40
Plasmablast,IGLV1-41
Plasmablast,IGLV1-44
Plasmablast,IGLV1-47
Plasmablast,IGLV1-51
Plasmablast,IGLV10-54
Plasmablast,IGLV2-11
Plasmablast,IGLV2-14
Plasmablast,IGLV2-18
Plasmablast,IGLV2-23
Plasmablast,IGLV2-28
Plasmablast,IGLV2-5
Plasmablast,IGLV2-8
Plasmablast,IGLV3-1
Plasmablast,IGLV3-10
Plasmablast,IGLV3-12
Plasmablast,IGLV3-16
Plasmablast,IGLV3-19
Plasmablast,IGLV3-21
Plasmablast,IGLV3-25
Plasmablast,IGLV3-27
Plasmablast,IGLV3-9
Plasmablast,IGLV4-60
Plasmablast,IGLV4-69
Plasmablast,IGLV5-37
Plasmablast,IGLV5-45
Plasmablast,IGLV5-48
Plasmablast,IGLV5-52
Plasmablast,IGLV6-57
Plasmablast,IGLV7-43
Plasmablast,IGLV7-46
Plasmablast,IGLV8-61
Plasmablast,IGLV9-49
Plasmablast,IGLVI-70
Plasmablast,IL12A
Plasmablast,IRF4
Plasmablast,ISG20
Plasmablast,ISOC2
Plasmablast,ITGA8
Plasmablast,JCHAIN
Plasmablast,JSRP1
Plasmablast,KCNK12
Plasmablast,KCNMA1
Plasmablast,KCNN3
Plasmablast,KCP
Plasmablast,KDELR1
Plasmablast,KDELR2
Plasmablast,KDELR3
Plasmablast,KLHL14
Plasmablast,LAMA5
Plasmablast,LAMB3
Plasmablast,LAMC1
Plasmablast,LARP1B
Plasmablast,LAX1
Plasmablast,LCORL
Plasmablast,LINC00467
Plasmablast,LINC00598
Plasmablast,LINC00887
Plasmablast,LINC00888
Plasmablast,LINC01358
Plasmablast,LINC02362
Plasmablast,LINC02363
Plasmablast,LINC02384
Plasmablast,LMAN1
Plasmablast,LMAN2
Plasmablast,LNP1
Plasmablast,LOXL2
Plasmablast,LRPAP1
Plasmablast,LRRC59
Plasmablast,LRRN1
Plasmablast,LRRN2
Plasmablast,LZTFL1
Plasmablast,MAGT1
Plasmablast,MAN1A1
Plasmablast,MANEA
Plasmablast,MANF
Plasmablast,MARS
Plasmablast,MBNL2
Plasmablast,MCEE
Plasmablast,MCTS1
Plasmablast,MCUR1
Plasmablast,MDM2
Plasmablast,MEI1
Plasmablast,MESD
Plasmablast,MET
Plasmablast,METTL7A
Plasmablast,MFF
Plasmablast,MFSD3
Plasmablast,MGAT2
Plasmablast,MGAT3
Plasmablast,MIR193BHG
Plasmablast,MIXL1
Plasmablast,MLEC
Plasmablast,MPV17L2
Plasmablast,MRPL22
Plasmablast,MRPS24
Plasmablast,MTDH
Plasmablast,MTHFD1L
Plasmablast,MTHFD2
Plasmablast,MYBL2
Plasmablast,MYDGF
Plasmablast,MYEOV
Plasmablast,MYL6B
Plasmablast,MYO1D
Plasmablast,MZB1
Plasmablast,NADK2
Plasmablast,NANS
Plasmablast,NAPA-AS1
Plasmablast,NAPSA
Plasmablast,NCOA3
Plasmablast,NDUFA1
Plasmablast,NDUFB3
Plasmablast,NEU1
Plasmablast,NME1
Plasmablast,NME2
Plasmablast,NOMO1
Plasmablast,NOMO2
Plasmablast,NOMO3
Plasmablast,NPIPA5
Plasmablast,NPIPB10P
Plasmablast,NPIPB15
Plasmablast,NPIPB2
Plasmablast,NT5DC2
Plasmablast,NTAN1
Plasmablast,NTHL1
Plasmablast,NUDT6
Plasmablast,NUGGC
Plasmablast,NXPE3
Plasmablast,OR7E38P
Plasmablast,OST4
Plasmablast,OSTC
Plasmablast,OXCT2
Plasmablast,P4HB
Plasmablast,PABPC4
Plasmablast,PAPSS1
Plasmablast,PAQR6
Plasmablast,PDIA3
Plasmablast,PDIA4
Plasmablast,PDIA5
Plasmablast,PDIA6
Plasmablast,PEBP1
Plasmablast,PERP
Plasmablast,PGM3
Plasmablast,PHKA1
Plasmablast,PIF1
Plasmablast,PIK3C2A
Plasmablast,PKD1P5
Plasmablast,PKHD1L1
Plasmablast,PLEKHA7
Plasmablast,PLEKHH3
Plasmablast,PMM2
Plasmablast,PPIB
Plasmablast,PRDM1
Plasmablast,PRDM15
Plasmablast,PRDX4
Plasmablast,PRDX5
Plasmablast,PREB
Plasmablast,PRKCSH
Plasmablast,PRSS16
Plasmablast,PRSS21
Plasmablast,PSAT1
Plasmablast,PSEN2
Plasmablast,PSMA8
Plasmablast,PSMB6
Plasmablast,PTPRG
Plasmablast,PYCR1
Plasmablast,QPCTL
Plasmablast,RAB1A
Plasmablast,RABAC1
Plasmablast,RAPGEF3
Plasmablast,RECQL4
Plasmablast,RGS13
Plasmablast,RGS16
Plasmablast,ROMO1
Plasmablast,RPL22L1
Plasmablast,RPL36AL
Plasmablast,RPN1
Plasmablast,RPN2
Plasmablast,RPS19BP1
Plasmablast,RWDD2A
Plasmablast,SAR1B
Plasmablast,SCFD1
Plasmablast,SCIN
Plasmablast,SCNN1B
Plasmablast,SDC1
Plasmablast,SDF2L1
Plasmablast,SDR42E2
Plasmablast,SEC11C
Plasmablast,SEC13
Plasmablast,SEC23B
Plasmablast,SEC24A
Plasmablast,SEC24D
Plasmablast,SEC61A1
Plasmablast,SEC61G
Plasmablast,SEC63
Plasmablast,SEL1L
Plasmablast,SEL1L3
Plasmablast,SELENOK
Plasmablast,SEMA4A
Plasmablast,SERP1
Plasmablast,SF3B5
Plasmablast,SH3GLB2
Plasmablast,SHCBP1
Plasmablast,SHISA3
Plasmablast,SHMT1
Plasmablast,SIL1
Plasmablast,SLAMF7
Plasmablast,SLC12A4
Plasmablast,SLC16A14
Plasmablast,SLC17A9
Plasmablast,SLC1A4
Plasmablast,SLC25A4
Plasmablast,SLC33A1
Plasmablast,SLC35B1
Plasmablast,SLC35F2
Plasmablast,SLC38A10
Plasmablast,SLC38A5
Plasmablast,SLC39A14
Plasmablast,SLC39A7
Plasmablast,SLC44A1
Plasmablast,SLC4A11
Plasmablast,SLC6A9
Plasmablast,SLC7A1
Plasmablast,SLCO4A1
Plasmablast,SLCO5A1
Plasmablast,SMOX
Plasmablast,SND1
Plasmablast,SPAG4
Plasmablast,SPATS2
Plasmablast,SPCS1
Plasmablast,SPCS2
Plasmablast,SPCS3
Plasmablast,SRM
Plasmablast,SRP54
Plasmablast,SRP72
Plasmablast,SRPRA
Plasmablast,SRPRB
Plasmablast,SSR1
Plasmablast,SSR2
Plasmablast,SSR3
Plasmablast,SSR4
Plasmablast,STARD5
Plasmablast,STT3A
Plasmablast,STT3B
Plasmablast,STX5
Plasmablast,SUB1
Plasmablast,TBL2
Plasmablast,TECPR1
Plasmablast,TFG
Plasmablast,TIMM17A
Plasmablast,TIMM8B
Plasmablast,TLE6
Plasmablast,TMC3-AS1
Plasmablast,TMED2
Plasmablast,TMED9
Plasmablast,TMEM208
Plasmablast,TMEM214
Plasmablast,TMEM258
Plasmablast,TMEM39A
Plasmablast,TMEM45A
Plasmablast,TMEM70
Plasmablast,TNFRSF17
Plasmablast,TOP1
Plasmablast,TP53INP1
Plasmablast,TP63
Plasmablast,TP73
Plasmablast,TPD52
Plasmablast,TRAM1
Plasmablast,TRAM2
Plasmablast,TSHR
Plasmablast,TVP23C
Plasmablast,TXNDC11
Plasmablast,TXNDC15
Plasmablast,TXNDC5
Plasmablast,TXNL1
Plasmablast,UAP1
Plasmablast,UBA5
Plasmablast,UBE2G1
Plasmablast,UBE2J1
Plasmablast,UBE2QL1
Plasmablast,UBXN4
Plasmablast,UCHL1
Plasmablast,UGDH
Plasmablast,UGDH-AS1
Plasmablast,UGGT1
Plasmablast,UGT2B17
Plasmablast,UNC13B
Plasmablast,UNC13C
Plasmablast,UQCRH
Plasmablast,UQCRHL
Plasmablast,UQCRQ
Plasmablast,USO1
Plasmablast,USP48
Plasmablast,VCP
Plasmablast,WDR45
Plasmablast,WFS1
Plasmablast,WIPI1
Plasmablast,WNT11
Plasmablast,WNT5B
Plasmablast,XBP1
Plasmablast,XK
Plasmablast,YIF1A
Plasmablast,YIPF2
Plasmablast,YIPF6
Plasmablast,YKT6
Plasmablast,YWHAEP7
Plasmablast,ZBP1
Plasmablast,ZBTB8A
Plasmablast,ZC3HAV1L
Plasmablast,ZFP64
Plasmablast,ZNF215
Plasmablast,ZNF275
Plasmablast,ZNF593
Plasmablast,ZP3
Plasmablast,ZYG11A
DN B,AANAT
DN B,AC013444.1
DN B,AC021678.2
DN B,AC022182.1
DN B,AC022239.2
DN B,AC022239.3
DN B,AC026347.1
DN B,AC069208.1
DN B,AC074131.1
DN B,AC079089.1
DN B,AC087500.1
DN B,AC110760.2
DN B,AC134043.2
DN B,ADAMDEC1
DN B,ADD2
DN B,AICDA
DN B,AK8
DN B,AL022324.1
DN B,AL022324.2
DN B,AL022332.1
DN B,AL049830.3
DN B,AL121835.2
DN B,AL162724.1
DN B,AL162724.2
DN B,AL512631.1
DN B,ANKRD18DP
DN B,ARHGAP6
DN B,ARL4D
DN B,B3GNT7
DN B,BCAR3
DN B,BLK
DN B,BOC
DN B,BPNT1
DN B,BTNL9
DN B,C1orf115
DN B,C3orf67
DN B,CACNA1A
DN B,CBWD3
DN B,CCDC187
DN B,CD80
DN B,CDK14
DN B,CLIP2
DN B,COCH
DN B,COLCA1
DN B,COLCA2
DN B,DNAJC5B
DN B,DPF3
DN B,DTX1
DN B,EFNA3
DN B,EZR
DN B,FAM167A
DN B,FAM212A
DN B,FAM3C
DN B,FAM3C2
DN B,FCRL3
DN B,FCRL5
DN B,FOXP4
DN B,GJA3
DN B,GLIDR
DN B,GNAZ
DN B,GRAMD1C
DN B,GTSF1L
DN B,HEPHL1
DN B,HRK
DN B,IGF2BP3
DN B,IGLL3P
DN B,ILDR1
DN B,INPP5F
DN B,KIAA1683
DN B,KIF3B
DN B,KLHL29
DN B,KRTAP5-AS1
DN B,LINC00643
DN B,LINC01679
DN B,LINC01754
DN B,LINC01918
DN B,LINC02161
DN B,LINC02202
DN B,LINC02413
DN B,LINC02416
DN B,LINC02562
DN B,LRP5L
DN B,LYPD6B
DN B,LYPLAL1
DN B,MAP2
DN B,MAPK12
DN B,MARC2
DN B,MARK1
DN B,MEF2C-AS1
DN B,MIR4477B
DN B,MOXD1
DN B,MPP6
DN B,NAV2
DN B,NDRG4
DN B,NEB
DN B,NEK6
DN B,NLK
DN B,NLRP4
DN B,NRP2
DN B,NTNG1
DN B,NUDT4
DN B,PARM1
DN B,PCDHGB2
DN B,PCSK6
DN B,PDE4D
DN B,PEBP4
DN B,PHACTR2P1
DN B,PODXL
DN B,PPP1R14A
DN B,PPP1R3G
DN B,PPP1R9A
DN B,PRICKLE2
DN B,RBPMS2
DN B,RGL3
DN B,RHOBTB2
DN B,RIMKLBP2
DN B,RNA5SP283
DN B,RNGTT
DN B,RPS6KA6
DN B,SCIMP
DN B,SEMA7A
DN B,SHISA8
DN B,SLC12A8
DN B,SLC25A42
DN B,SLC44A5
DN B,SMAGP
DN B,SOX5
DN B,SREBF2
DN B,SSPN
DN B,SUSD5
DN B,SYNPO
DN B,SYT1
DN B,TAL2
DN B,TCF7L1
DN B,TEC
DN B,TERF2
DN B,TEX9
DN B,TGFB2
DN B,TMEM231
DN B,TOB2
DN B,WNT2B
DN B,ZFAND6
DN B,ZNF711
DN B,ZNF821
DN B,ZPBP2
CL Mono,AC002451.1
CL Mono,AC005632.2
CL Mono,AC006333.2
CL Mono,AC009303.4
CL Mono,AC010997.6
CL Mono,AC024909.3
CL Mono,AC026770.1
CL Mono,AC027176.2
CL Mono,AC060766.1
CL Mono,AC060766.5
CL Mono,AC068050.1
CL Mono,AC092755.2
CL Mono,AC092865.3
CL Mono,AC092865.6
CL Mono,AC093583.1
CL Mono,AC096564.1
CL Mono,AC096667.1
CL Mono,AC098679.1
CL Mono,AC106865.1
CL Mono,AC114744.1
CL Mono,AC116353.5
CL Mono,AC120057.1
CL Mono,AC124248.1
CL Mono,AC127537.1
CL Mono,AC139495.3
CL Mono,AC140134.1
CL Mono,AC146944.2
CL Mono,AC243829.4
CL Mono,AC243964.3
CL Mono,AC245297.1
CL Mono,ADA2
CL Mono,ADAM9
CL Mono,ADAMTS5
CL Mono,ADGRA2
CL Mono,ADGRD1
CL Mono,ADPGK-AS1
CL Mono,AGAP3
CL Mono,AGFG1
CL Mono,AGTRAP
CL Mono,AK4
CL Mono,AKT1S1
CL Mono,AL133415.1
CL Mono,AL139041.1
CL Mono,AL158166.2
CL Mono,AL161785.1
CL Mono,AL355922.1
CL Mono,AL356512.1
CL Mono,AL390036.1
CL Mono,AL391807.1
CL Mono,AL691447.2
CL Mono,ALDH1A1
CL Mono,ALDH2
CL Mono,ALOX15B
CL Mono,ANG
CL Mono,ANKRD50
CL Mono,ANO10
CL Mono,ANO5
CL Mono,AOAH
CL Mono,AP001257.1
CL Mono,AP002954.1
CL Mono,AP003774.3
CL Mono,AP1S2
CL Mono,AP3S2
CL Mono,APLP2
CL Mono,APOL4
CL Mono,ARHGEF10L
CL Mono,ARL8B
CL Mono,ARNT
CL Mono,ARRDC4
CL Mono,ARSB
CL Mono,ARSD
CL Mono,ASGR1
CL Mono,ASGR2
CL Mono,ASRGL1
CL Mono,ATG7
CL Mono,ATP6AP2
CL Mono,ATP6V1F
CL Mono,ATRN
CL Mono,AZI2
CL Mono,BACE1
CL Mono,BAG4
CL Mono,BCKDK
CL Mono,BCL2L2
CL Mono,BLVRB
CL Mono,BNIP2
CL Mono,BNIP3L
CL Mono,BST1
CL Mono,BTN2A3P
CL Mono,C10orf10
CL Mono,C14orf2
CL Mono,C16orf70
CL Mono,C6orf120
CL Mono,C9orf106
CL Mono,C9orf139
CL Mono,C9orf47
CL Mono,CACNA2D4
CL Mono,CARD19
CL Mono,CARS2
CL Mono,CASC8
CL Mono,CAST
CL Mono,CATSPER1
CL Mono,CCDC149
CL Mono,CCDC159
CL Mono,CCL2
CL Mono,CCNY
CL Mono,CCT8P1
CL Mono,CD14
CL Mono,CD151
CL Mono,CD163
CL Mono,CD209
CL Mono,CD300LB
CL Mono,CD302
CL Mono,CD36
CL Mono,CD9
CL Mono,CD93
